userId,movieId,title
196,242,Kolya (1996)
186,302,L.A. Confidential (1997)
22,377,Heavyweights (1994)
244,51,Legends of the Fall (1994)
166,346,Jackie Brown (1997)
298,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
115,265,"Hunt for Red October, The (1990)"
253,465,"Jungle Book, The (1994)"
305,451,Grease (1978)
6,86,"Remains of the Day, The (1993)"
62,257,Men in Black (1997)
286,1014,Romy and Michele's High School Reunion (1997)
200,222,Star Trek: First Contact (1996)
210,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
224,29,Batman Forever (1995)
303,785,Only You (1994)
122,387,"Age of Innocence, The (1993)"
194,274,Sabrina (1995)
291,1042,Just Cause (1995)
234,1184,"Endless Summer 2, The (1994)"
119,392,"Man Without a Face, The (1993)"
167,486,Sabrina (1954)
299,144,Die Hard (1988)
291,118,Twister (1996)
308,1,Toy Story (1995)
95,546,Broken Arrow (1996)
38,95,Aladdin (1992)
102,768,Casper (1995)
63,277,Restoration (1995)
160,234,Jaws (1975)
50,246,Chasing Amy (1997)
301,98,"Silence of the Lambs, The (1991)"
225,193,"Right Stuff, The (1983)"
290,88,Sleepless in Seattle (1993)
97,194,"Sting, The (1973)"
157,274,Sabrina (1995)
181,1081,Curdled (1996)
278,603,Rear Window (1954)
276,796,Speechless (1994)
7,32,Crumb (1994)
10,16,French Twist (Gazon maudit) (1995)
284,304,Fly Away Home (1996)
201,979,"Trigger Effect, The (1996)"
276,564,Tales from the Hood (1995)
287,327,Cop Land (1997)
246,201,Evil Dead II (1987)
242,1137,Beautiful Thing (1996)
249,241,"Last of the Mohicans, The (1992)"
99,4,Get Shorty (1995)
178,332,Kiss the Girls (1997)
251,100,Fargo (1996)
81,432,Fantasia (1940)
260,322,Murder at 1600 (1997)
25,181,Return of the Jedi (1983)
59,196,Dead Poets Society (1989)
72,679,Conan the Barbarian (1981)
87,384,Naked Gun 33 1/3: The Final Insult (1994)
290,143,"Sound of Music, The (1965)"
42,423,E.T. the Extra-Terrestrial (1982)
292,515,"Boot, Das (1981)"
115,20,Angels and Insects (1995)
20,288,Scream (1996)
201,219,"Nightmare on Elm Street, A (1984)"
13,526,Ben-Hur (1959)
246,919,"City of Lost Children, The (1995)"
138,26,"Brothers McMullen, The (1995)"
167,232,Young Guns (1988)
60,427,To Kill a Mockingbird (1962)
57,304,Fly Away Home (1996)
223,274,Sabrina (1995)
189,512,Wings of Desire (1987)
243,15,Mr. Holland's Opus (1995)
92,1049,House Arrest (1996)
246,416,Old Yeller (1957)
194,165,Jean de Florette (1986)
241,690,Seven Years in Tibet (1997)
178,248,Grosse Pointe Blank (1997)
254,1444,That Darn Cat! (1965)
293,5,Copycat (1995)
127,229,Star Trek III: The Search for Spock (1984)
